Area,Cat. No.,Title,Dimentions,,,Material,Artist 1,,,,Artist 2,,,,Date,Installation Date,Fabrication,,Location,Previous Locations,Longitude,Latitude,Coordinates,Donors,,Copyright Status
,,,Height,Width,Depth,,Last Name,First Name,(birth-death),Artist Title,Last Name,First Name,(birth-death),Artist Title,,,Date,Foundry/Studio,,,,,,Last,First,
Mount Vernon Place,1,George Washington,487.68 cm,,,Cockeysville (MD) marble,Causici,Enrico,1790-1835,Sculptor,Mills,Robert,1781-1855,Architect,,,,,,,39.2958,-76.6235,39.2958 -76.6235,State of Maryland and the Citizens of Baltimore,,
Mount Vernon Place,2,War,,,,Bronze,Barye,Antonio-Louis,1896-1875,,,,,,,,,,,,39.297781,-76.616059,39.297781 -76.616059,Walters,William T.,
Mount Vernon Place,3,Peace,,,,Bronze,Barye,Antonie-Louis,1896-1875,,,,,,,,,,,,39.297265,-76.616016,39.297265 -76.616016,Walters,William T.,
Mount Vernon Place,4,Seated Lion,,,,Bronze,Barye,Antonie-Louis,1896-1875,,,,,,,,,,,,39.2977366,-76.6154967,39.2977366 -76.6154967,Walters,William T.,
Mount Vernon Place,5,Boy and Turtle Fountain,,,,Bronze,Crenier,Henri,1873-1948,,,,,,,,1916,,,,39.297781,-76.616059,39.297781 -76.616059,Municipal Art Society of Baltimore City,,
Mount Vernon Place,6,Military Courage,,,,Bronze,Dubois,Paul,1829-1905,,,,,,1879,,1885,,,,39.297781,-76.616059,39.297781 -76.616059,Walters,William T.,
Mount Vernon Place,7,Roger B. Taney Monument,,,,Bronze,Rinehart,William Henry,1825-1874,,,,,,1872,,1887,,,,,,,Walters,William T.,
Mount Vernon Place,8,John Eager Howard Monument,,,,Bronze,Frémiet,Emmanuel,1824-1910,,,,,,,,,,,,,,,,,
Mount Vernon Place,9,Francis Scott Key,,,,Bronze,Schuler,Hans,1874-1951,,,,,,1912,,,,Entrance of 10 E. Mount Vernon Place,,,,,Daughters of the American Revolution,,
Mount Vernon Place,10,Force,,,,Bronze,Barye,Antonie-Louis,1796-1875,,,,,,,,,,,,,,,Walters,William T.,
Mount Vernon Place,11,Order,,,,Bronze,Barye,Antonie-Louis,1796-1875,,,,,,,,,,,,,,,Walters,William T.,
Mount Vernon Place,12,George Peabody Monument,,,,Bronze,Storey,William Wetmore,1819-1895,,,,,,1896,,1890,,,,,,,Garrett,Robert,
Mount Vernon Place,13,Naïad,,,,Bronze,Turnbull,Grace Hill,1880-1976,,,,,,1932,,,,,,,,,Women's Civic League,,
Mount Vernon Place,14,Severn Teakle Wallis Monument,,,,Bronze,Marqueste,Laurent Honoré,1848-1920,,,,,,1904,,,,,,,,,Municipal Art Society of Baltimore City,,
Mount Vernon Place,15,Lafayette Monument,,,,Bronze,O'Connor,Andrew,1874-1955,,,,,,1924,,,,,,,,,City of Baltimore,,
Mount Vernon Place,16,Sea Urchin,,,,Bronze,Berge,Edward,1876-1924,,,,,,1922,,1959,,,,,,,Huber,Frederick R.,
Mount Vernon Place,17,William T. Walters,,,,Bronze,Rinehart,William Henry,1825-1874,,,,,,1867,,1907,,,,,,,Walters,Henry,
Mount Royal and Bolton Hill,18,Colossus I,,,,Cor-Ten steel,Halegua,Alfredo,1930-,,,,,,1972,,,,861 Park Ave.,,,,,Baltimore City Percent for Art Program,,
Mount Royal and Bolton Hill,19,Firebird,,,,"Bronze, Stainless Steel, Copper",Carroll,Rodney,1949-,,,,,,2005,,,,Symphony Center,,,,,David S. Brown Enterprises and the Maryland Transit Administration,,
Mount Royal and Bolton Hill,20,Pearlstone Park,,,,Sandblasted concrete and brick,Burton,Scott,1939-1989,,,,,,1985,,,,,,,,,"Mayor William Donald Schafer, the citizens of Baltimore, and the Pearlstone Charitable Income Trust",,
Mount Royal and Bolton Hill,21,Goddess of Liberty,,,,Bronze,Van den Bergen (Berghen),A.L.,1850-1921,Sculptor,Hodges and Leach,,,Architect,1901,,,,,,,,,Maryland Society of the Sons of the American Revolution,,
Mount Royal and Bolton Hill,22,Untitled,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,23,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,24,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,25,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,26,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,27,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,28,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,29,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,30,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,31,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,32,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,33,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,34,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,35,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,36,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,37,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,38,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal and Bolton Hill,39,,,,,,,,,,,,,,,,,,,,,,,,,